symbol,open_time_ms,open_time_utc,open,high,low,close,volume
BTCUSDT,1679433960000,2023-03-21 21:26:00,27981.73,27986.00,27974.16,27979.19,0.25005
BTCUSDT,1679434020000,2023-03-21 21:27:00,27985.33,27996.54,27985.33,27995.99,0.34606
BTCUSDT,1679434080000,2023-03-21 21:28:00,27998.56,27999.06,27992.23,27992.23,0.03779
BTCUSDT,1679434140000,2023-03-21 21:29:00,27998.66,28023.71,27994.37,28007.75,0.06308
BTCUSDT,1679434200000,2023-03-21 21:30:00,28011.19,28044.68,28002.15,28039.06,0.73415
BTCUSDT,1679434260000,2023-03-21 21:31:00,28033.98,28033.98,28018.96,28033.97,0.26154
BTCUSDT,1679434320000,2023-03-21 21:32:00,28033.97,28041.36,28026.46,28041.36,0.04081
BTCUSDT,1679434380000,2023-03-21 21:33:00,28038.27,28038.27,28010.22,28015.80,0.23029
BTCUSDT,1679434440000,2023-03-21 21:34:00,28018.95,28030.14,27994.19,28021.97,1.50709
BTCUSDT,1679434500000,2023-03-21 21:35:00,28019.14,28019.59,27981.23,27996.48,1.81654
BTCUSDT,1679434560000,2023-03-21 21:36:00,27990.95,27996.53,27969.37,27986.93,0.85350
BTCUSDT,1679434620000,2023-03-21 21:37:00,27986.93,27987.33,27921.79,27931.53,4.07302
BTCUSDT,1679434680000,2023-03-21 21:38:00,27938.19,27964.74,27938.19,27961.09,0.26261
BTCUSDT,1679434740000,2023-03-21 21:39:00,27958.51,27968.55,27952.98,27962.08,0.19359
BTCUSDT,1679434800000,2023-03-21 21:40:00,27967.37,27975.95,27967.37,27975.95,0.20476
BTCUSDT,1679434860000,2023-03-21 21:41:00,27977.89,27996.43,27977.89,27991.02,0.67709
BTCUSDT,1679434920000,2023-03-21 21:42:00,27996.52,27996.52,27976.69,27981.37,2.44112
BTCUSDT,1679434980000,2023-03-21 21:43:00,27981.68,27989.73,27975.26,27989.73,0.12949
BTCUSDT,1679435040000,2023-03-21 21:44:00,27996.54,28016.20,27996.54,28002.16,0.68412
BTCUSDT,1679435100000,2023-03-21 21:45:00,28008.82,28015.60,28008.82,28011.65,0.07772
BTCUSDT,1679435160000,2023-03-21 21:46:00,28010.63,28058.18,28010.63,28046.06,1.17122
BTCUSDT,1679435220000,2023-03-21 21:47:00,28047.84,28047.84,28030.66,28033.28,0.22962
BTCUSDT,1679435280000,2023-03-21 21:48:00,28033.55,28058.19,28033.55,28045.11,3.13465
BTCUSDT,1679435340000,2023-03-21 21:49:00,28045.12,28071.91,28045.12,28063.36,1.20033
BTCUSDT,1679435400000,2023-03-21 21:50:00,28050.97,28054.52,28038.59,28038.59,0.12859
BTCUSDT,1679435460000,2023-03-21 21:51:00,28038.58,28038.58,28024.55,28026.26,0.02303
BTCUSDT,1679435520000,2023-03-21 21:52:00,28026.26,28026.26,28018.96,28018.96,0.02294
BTCUSDT,1679435580000,2023-03-21 21:53:00,28018.96,28042.75,28018.96,28037.27,0.39748
BTCUSDT,1679435640000,2023-03-21 21:54:00,28030.16,28034.41,28024.31,28024.56,0.57989
BTCUSDT,1679435700000,2023-03-21 21:55:00,28024.55,28033.97,28020.97,28033.49,0.43770
BTCUSDT,1679435760000,2023-03-21 21:56:00,28030.37,28046.67,28030.37,28038.50,1.02532
BTCUSDT,1679435820000,2023-03-21 21:57:00,28035.67,28035.67,28020.36,28025.03,0.61285
BTCUSDT,1679435880000,2023-03-21 21:58:00,28027.43,28027.43,28023.03,28023.04,0.19886
BTCUSDT,1679435940000,2023-03-21 21:59:00,28023.03,28023.03,28007.74,28007.74,0.46876
BTCUSDT,1679436000000,2023-03-21 22:00:00,28004.62,28035.76,27997.13,28030.82,0.38347
BTCUSDT,1679436060000,2023-03-21 22:01:00,28035.75,28046.97,28035.75,28045.30,0.09313
BTCUSDT,1679436120000,2023-03-21 22:02:00,28044.91,28044.91,28008.42,28008.42,0.90034
BTCUSDT,1679436180000,2023-03-21 22:03:00,28007.75,28027.79,28000.07,28003.49,0.44027
BTCUSDT,1679436240000,2023-03-21 22:04:00,28003.49,28018.93,27999.86,28018.93,0.74750
BTCUSDT,1679436300000,2023-03-21 22:05:00,28018.93,28018.95,28010.99,28013.34,0.96392
BTCUSDT,1679436360000,2023-03-21 22:06:00,28013.66,28043.90,28013.66,28043.90,0.13266
BTCUSDT,1679436420000,2023-03-21 22:07:00,28045.97,28059.75,28045.97,28059.14,0.08628
BTCUSDT,1679436480000,2023-03-21 22:08:00,28056.14,28068.43,28041.38,28050.29,0.08399
BTCUSDT,1679436540000,2023-03-21 22:09:00,28049.04,28049.04,28030.16,28030.16,0.17184
BTCUSDT,1679436600000,2023-03-21 22:10:00,28027.63,28045.12,28018.97,28030.16,0.10830
BTCUSDT,1679436660000,2023-03-21 22:11:00,28029.39,28041.36,28009.35,28024.32,0.57253
BTCUSDT,1679436720000,2023-03-21 22:12:00,28018.60,28030.14,28013.35,28015.72,1.12478
BTCUSDT,1679436780000,2023-03-21 22:13:00,28015.73,28041.31,28015.73,28038.31,0.27118
BTCUSDT,1679436840000,2023-03-21 22:14:00,28038.31,28049.10,28038.31,28049.10,0.37787
