exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume,volume_base_ccy,volume_quote_ccy,confirm
okx,BTCUSDT,1678009620000,2023-03-05 09:47:00,22389,22389,22380.1,22380.1,0.34938079,7820.840786768,7820.840786768,1
okx,BTCUSDT,1678009680000,2023-03-05 09:48:00,22380.1,22380.1,22376.3,22376.4,0.28140324,6297.402540131,6297.402540131,1
okx,BTCUSDT,1678009740000,2023-03-05 09:49:00,22376.4,22376.4,22371.8,22371.8,0.3008749,6732.012929134,6732.012929134,1
okx,BTCUSDT,1678009800000,2023-03-05 09:50:00,22371.7,22374.2,22371.7,22374.1,0.37772002,8451.004036043,8451.004036043,1
okx,BTCUSDT,1678009860000,2023-03-05 09:51:00,22374,22374,22368.8,22371.3,0.28575202,6392.387389443,6392.387389443,1
okx,BTCUSDT,1678009920000,2023-03-05 09:52:00,22371.3,22373.7,22371.3,22373.7,1.13377229,25366.203222715,25366.203222715,1
okx,BTCUSDT,1678009980000,2023-03-05 09:53:00,22373.7,22373.7,22372.7,22372.8,0.51702484,11567.710845439,11567.710845439,1
okx,BTCUSDT,1678010040000,2023-03-05 09:54:00,22372.8,22372.8,22371.2,22371.3,0.21322973,4770.338243513,4770.338243513,1
okx,BTCUSDT,1678010100000,2023-03-05 09:55:00,22371.3,22371.3,22371.2,22371.2,0.88197928,19730.939266892,19730.939266892,1
okx,BTCUSDT,1678010160000,2023-03-05 09:56:00,22371.2,22374,22369,22371.9,6.7421417,150835.342445327,150835.342445327,1
okx,BTCUSDT,1678010220000,2023-03-05 09:57:00,22372,22372,22371.9,22372,0.0109187,244.273143435,244.273143435,1
okx,BTCUSDT,1678010280000,2023-03-05 09:58:00,22371.9,22372,22371.9,22372,1.51234611,33834.085960563,33834.085960563,1
okx,BTCUSDT,1678010340000,2023-03-05 09:59:00,22371.9,22371.9,22366.6,22366.7,3.04225218,68046.084553037,68046.084553037,1
okx,BTCUSDT,1678010400000,2023-03-05 10:00:00,22366.8,22373.5,22366.7,22373.5,1.03603101,23175.48893969,23175.48893969,1
okx,BTCUSDT,1678010460000,2023-03-05 10:01:00,22373.6,22373.6,22373.4,22373.4,0.52481651,11741.951708525,11741.951708525,1
okx,BTCUSDT,1678010520000,2023-03-05 10:02:00,22373.5,22373.5,22373.4,22373.4,0.15302628,3423.732490278,3423.732490278,1
okx,BTCUSDT,1678010580000,2023-03-05 10:03:00,22373.5,22373.5,22373.4,22373.4,0.24845406,5558.771329992,5558.771329992,1
okx,BTCUSDT,1678010640000,2023-03-05 10:04:00,22373.5,22373.5,22373.4,22373.5,0.28045218,6274.688161703,6274.688161703,1
okx,BTCUSDT,1678010700000,2023-03-05 10:05:00,22373.5,22373.5,22370.1,22370.1,0.20447846,4574.549087304,4574.549087304,1
okx,BTCUSDT,1678010760000,2023-03-05 10:06:00,22370.1,22370.2,22365.8,22368.4,1.42565044,31888.418949922,31888.418949922,1
okx,BTCUSDT,1678010820000,2023-03-05 10:07:00,22368.3,22368.4,22368.3,22368.4,0.08572049,1917.423093054,1917.423093054,1
okx,BTCUSDT,1678010880000,2023-03-05 10:08:00,22368.3,22368.4,22368,22368,0.20783446,4648.867199502,4648.867199502,1
okx,BTCUSDT,1678010940000,2023-03-05 10:09:00,22368.4,22371.5,22368.4,22371.1,3.18116969,71164.976965025,71164.976965025,1
okx,BTCUSDT,1678011000000,2023-03-05 10:10:00,22371,22372.7,22371,22372.7,2.08543936,46653.740820464,46653.740820464,1
okx,BTCUSDT,1678011060000,2023-03-05 10:11:00,22372.6,22375.6,22369.8,22375,5.95825239,133301.310716403,133301.310716403,1
okx,BTCUSDT,1678011120000,2023-03-05 10:12:00,22372.5,22372.6,22372.5,22372.6,0.11502797,2573.472320717,2573.472320717,1
okx,BTCUSDT,1678011180000,2023-03-05 10:13:00,22374.7,22374.7,22371.5,22371.5,0.01991605,445.569135568,445.569135568,1
okx,BTCUSDT,1678011240000,2023-03-05 10:14:00,22371.5,22371.5,22366.7,22368.9,7.37341617,164928.803257837,164928.803257837,1
okx,BTCUSDT,1678011300000,2023-03-05 10:15:00,22368.8,22368.8,22364.7,22365,2.83895811,63492.979537046,63492.979537046,1
okx,BTCUSDT,1678011360000,2023-03-05 10:16:00,22365,22366.1,22365,22366,0.13843168,3096.134487005,3096.134487005,1
okx,BTCUSDT,1678011420000,2023-03-05 10:17:00,22366,22366.1,22366,22366.1,0.06916574,1546.964011903,1546.964011903,1
okx,BTCUSDT,1678011480000,2023-03-05 10:18:00,22366,22366,22363.9,22364,0.10734864,2400.761348513,2400.761348513,1
okx,BTCUSDT,1678011540000,2023-03-05 10:19:00,22363.9,22366.1,22363.9,22366,0.01495894,334.55266358,334.55266358,1
okx,BTCUSDT,1678011600000,2023-03-05 10:20:00,22366,22366.1,22366,22366.1,0.09960069,2227.671845114,2227.671845114,1
okx,BTCUSDT,1678011660000,2023-03-05 10:21:00,22369.8,22371,22369.8,22371,0.01125761,251.843148684,251.843148684,1
okx,BTCUSDT,1678011720000,2023-03-05 10:22:00,22370.5,22370.5,22370.4,22370.5,0.04708239,1053.254860363,1053.254860363,1
okx,BTCUSDT,1678011780000,2023-03-05 10:23:00,22370.5,22388.7,22370.4,22388.7,1.15806927,25914.609982787,25914.609982787,1
okx,BTCUSDT,1678011840000,2023-03-05 10:24:00,22388.7,22425.1,22388.1,22420.5,5.48998622,123025.287166762,123025.287166762,1
okx,BTCUSDT,1678011900000,2023-03-05 10:25:00,22420.4,22445.7,22409.6,22443.2,43.64137971,979145.174202427,979145.174202427,1
okx,BTCUSDT,1678011960000,2023-03-05 10:26:00,22439.9,22439.9,22420,22422,0.95236118,21360.821250069,21360.821250069,1
okx,BTCUSDT,1678012020000,2023-03-05 10:27:00,22422,22422,22404.3,22409,3.14958144,70596.702042693,70596.702042693,1
okx,BTCUSDT,1678012080000,2023-03-05 10:28:00,22408.9,22421.7,22408.9,22410.1,0.82026029,18383.859511716,18383.859511716,1
okx,BTCUSDT,1678012140000,2023-03-05 10:29:00,22410,22410.1,22394.3,22399.8,10.12976109,226925.555824367,226925.555824367,1
okx,BTCUSDT,1678012200000,2023-03-05 10:30:00,22401.1,22409.2,22401.1,22409.2,2.36989656,53103.156070461,53103.156070461,1
okx,BTCUSDT,1678012260000,2023-03-05 10:31:00,22410.1,22416,22398.5,22401.3,0.28372706,6357.762832692,6357.762832692,1
okx,BTCUSDT,1678012320000,2023-03-05 10:32:00,22398.5,22402,22395.6,22402,5.134123,114996.798776025,114996.798776025,1
okx,BTCUSDT,1678012380000,2023-03-05 10:33:00,22401.3,22406.4,22399.9,22406.4,0.70975124,15899.982990393,15899.982990393,1
okx,BTCUSDT,1678012440000,2023-03-05 10:34:00,22406.4,22407,22403.6,22403.7,0.89664131,20090.366916583,20090.366916583,1
okx,BTCUSDT,1678012500000,2023-03-05 10:35:00,22406.2,22415,22406.1,22411.7,4.44154553,99531.458272129,99531.458272129,1
okx,BTCUSDT,1678012560000,2023-03-05 10:36:00,22411.3,22412.5,22403,22404.6,3.89514537,87282.787672905,87282.787672905,1
okx,BTCUSDT,1678012620000,2023-03-05 10:37:00,22404.6,22407.5,22404.5,22404.7,0.13819984,3096.495858445,3096.495858445,1
okx,BTCUSDT,1678012680000,2023-03-05 10:38:00,22404.7,22406.6,22403.6,22403.6,2.29853134,51499.242369125,51499.242369125,1
okx,BTCUSDT,1678012740000,2023-03-05 10:39:00,22403.6,22404.6,22401.2,22404.6,1.51049009,33839.681806646,33839.681806646,1
okx,BTCUSDT,1678012800000,2023-03-05 10:40:00,22405.2,22406.7,22402.8,22402.8,0.17392253,3896.682365218,3896.682365218,1
okx,BTCUSDT,1678012860000,2023-03-05 10:41:00,22402.8,22402.9,22398.7,22402.5,0.28273679,6333.84968119,6333.84968119,1
