datetime,open,high,low,close,volume
2023-03-07 00:41:00+00:00,1.06871,1.06875,1.06869,1.06872,0
2023-03-07 00:42:00+00:00,1.06874,1.06874,1.06864,1.06864,0
2023-03-07 00:43:00+00:00,1.06865,1.06871,1.06862,1.06862,0
2023-03-07 00:44:00+00:00,1.06864,1.06869,1.06862,1.06868,0
2023-03-07 00:45:00+00:00,1.06868,1.0687,1.06862,1.06867,0
2023-03-07 00:46:00+00:00,1.06867,1.06868,1.06854,1.06854,0
2023-03-07 00:47:00+00:00,1.06856,1.06856,1.06849,1.06851,0
2023-03-07 00:48:00+00:00,1.06853,1.06856,1.06852,1.06852,0
2023-03-07 00:49:00+00:00,1.06853,1.06856,1.0685,1.0685,0
2023-03-07 00:50:00+00:00,1.0685,1.06852,1.06847,1.0685,0
2023-03-07 00:51:00+00:00,1.0685,1.06851,1.0685,1.0685,0
2023-03-07 00:52:00+00:00,1.0685,1.0685,1.06845,1.06846,0
2023-03-07 00:53:00+00:00,1.06846,1.06847,1.06843,1.06843,0
2023-03-07 00:54:00+00:00,1.06844,1.06846,1.06842,1.06846,0
2023-03-07 00:55:00+00:00,1.06847,1.06856,1.06836,1.06836,0
2023-03-07 00:56:00+00:00,1.06836,1.06842,1.06824,1.06833,0
2023-03-07 00:57:00+00:00,1.0683,1.0683,1.06813,1.06826,0
2023-03-07 00:58:00+00:00,1.06828,1.06841,1.06819,1.06819,0
2023-03-07 00:59:00+00:00,1.06817,1.06853,1.06817,1.06851,0
2023-03-07 01:00:00+00:00,1.0685,1.06866,1.06844,1.06845,0
2023-03-07 01:01:00+00:00,1.06846,1.06865,1.06845,1.06855,0
2023-03-07 01:02:00+00:00,1.06856,1.06858,1.06847,1.0685,0
2023-03-07 01:03:00+00:00,1.0685,1.06857,1.06847,1.06847,0
2023-03-07 01:04:00+00:00,1.06848,1.06851,1.06837,1.0684,0
2023-03-07 01:05:00+00:00,1.06839,1.06841,1.06825,1.06832,0
2023-03-07 01:06:00+00:00,1.06831,1.0684,1.06828,1.06828,0
2023-03-07 01:07:00+00:00,1.06829,1.0684,1.06828,1.06836,0
2023-03-07 01:08:00+00:00,1.06836,1.06837,1.0683,1.06832,0
2023-03-07 01:09:00+00:00,1.06832,1.06835,1.06822,1.06823,0
2023-03-07 01:10:00+00:00,1.06823,1.06825,1.06819,1.0682,0
2023-03-07 01:11:00+00:00,1.06819,1.06835,1.06815,1.06829,0
2023-03-07 01:12:00+00:00,1.0683,1.06837,1.06827,1.06836,0
2023-03-07 01:13:00+00:00,1.06835,1.06835,1.06822,1.06822,0
2023-03-07 01:14:00+00:00,1.06822,1.06824,1.06815,1.0682,0
2023-03-07 01:15:00+00:00,1.06818,1.06818,1.0681,1.06815,0
2023-03-07 01:16:00+00:00,1.06819,1.06823,1.06812,1.06821,0
2023-03-07 01:17:00+00:00,1.06823,1.06825,1.06819,1.06822,0
2023-03-07 01:18:00+00:00,1.0682,1.06826,1.06814,1.06824,0
2023-03-07 01:19:00+00:00,1.06825,1.06838,1.06825,1.0683,0
2023-03-07 01:20:00+00:00,1.06831,1.06832,1.06823,1.06825,0
2023-03-07 01:21:00+00:00,1.06826,1.06826,1.06813,1.0682,0
2023-03-07 01:22:00+00:00,1.06819,1.06819,1.06809,1.06809,0
2023-03-07 01:23:00+00:00,1.06809,1.06818,1.06805,1.06813,0
2023-03-07 01:24:00+00:00,1.06814,1.06824,1.06809,1.0682,0
2023-03-07 01:25:00+00:00,1.06821,1.06824,1.0681,1.06814,0
2023-03-07 01:26:00+00:00,1.06812,1.0682,1.06812,1.06813,0
2023-03-07 01:27:00+00:00,1.06814,1.06824,1.06812,1.06813,0
2023-03-07 01:28:00+00:00,1.06813,1.06826,1.06812,1.06826,0
2023-03-07 01:29:00+00:00,1.06827,1.06827,1.06814,1.06825,0
2023-03-07 01:30:00+00:00,1.06826,1.06828,1.06821,1.06828,0
2023-03-07 01:31:00+00:00,1.06827,1.06832,1.06826,1.0683,0
2023-03-07 01:32:00+00:00,1.06831,1.06843,1.06831,1.06832,0
2023-03-07 01:33:00+00:00,1.06834,1.06835,1.0683,1.06832,0
2023-03-07 01:34:00+00:00,1.06832,1.06833,1.06826,1.06827,0
2023-03-07 01:35:00+00:00,1.06827,1.06835,1.06827,1.06834,0
2023-03-07 01:36:00+00:00,1.06833,1.06846,1.06831,1.06845,0
2023-03-07 01:37:00+00:00,1.06844,1.06844,1.06831,1.06835,0
2023-03-07 01:38:00+00:00,1.06835,1.06835,1.06826,1.06829,0
2023-03-07 01:39:00+00:00,1.0683,1.06831,1.06823,1.06827,0
2023-03-07 01:40:00+00:00,1.06825,1.0683,1.06815,1.06816,0
2023-03-07 01:41:00+00:00,1.06817,1.06822,1.06814,1.06817,0
2023-03-07 01:42:00+00:00,1.06817,1.06822,1.06814,1.06815,0
2023-03-07 01:43:00+00:00,1.06815,1.06826,1.06814,1.06825,0
2023-03-07 01:44:00+00:00,1.06824,1.06835,1.06821,1.06835,0
2023-03-07 01:45:00+00:00,1.06836,1.06837,1.06809,1.0681,0
2023-03-07 01:46:00+00:00,1.06809,1.06819,1.06804,1.06804,0
2023-03-07 01:47:00+00:00,1.06805,1.06813,1.06804,1.06811,0
2023-03-07 01:48:00+00:00,1.06812,1.06812,1.06795,1.06795,0
2023-03-07 01:49:00+00:00,1.06798,1.06801,1.0679,1.06799,0
2023-03-07 01:50:00+00:00,1.06798,1.06805,1.06793,1.06795,0
2023-03-07 01:51:00+00:00,1.06796,1.06796,1.06784,1.06788,0
2023-03-07 01:52:00+00:00,1.06789,1.06795,1.06783,1.06784,0
2023-03-07 01:53:00+00:00,1.06784,1.06786,1.06767,1.06769,0
2023-03-07 01:54:00+00:00,1.0677,1.06774,1.06759,1.06765,0
2023-03-07 01:55:00+00:00,1.06765,1.0677,1.06763,1.06769,0
2023-03-07 01:56:00+00:00,1.06769,1.06784,1.06767,1.06778,0
2023-03-07 01:57:00+00:00,1.06777,1.06794,1.06777,1.06783,0
2023-03-07 01:58:00+00:00,1.06784,1.06785,1.06776,1.06778,0
2023-03-07 01:59:00+00:00,1.06779,1.06779,1.06758,1.06759,0
2023-03-07 02:00:00+00:00,1.0676,1.06785,1.0676,1.06784,0
2023-03-07 02:01:00+00:00,1.06788,1.06789,1.06779,1.06789,0
2023-03-07 02:02:00+00:00,1.06789,1.06802,1.06785,1.06794,0
2023-03-07 02:03:00+00:00,1.06795,1.06796,1.06768,1.06769,0
2023-03-07 02:04:00+00:00,1.06773,1.06779,1.06762,1.06764,0
2023-03-07 02:05:00+00:00,1.06765,1.06769,1.06747,1.06748,0
2023-03-07 02:06:00+00:00,1.06749,1.0677,1.06744,1.06759,0
2023-03-07 02:07:00+00:00,1.0676,1.06761,1.06753,1.06755,0
2023-03-07 02:08:00+00:00,1.06754,1.06791,1.06754,1.06785,0
2023-03-07 02:09:00+00:00,1.06786,1.06789,1.06772,1.06774,0
2023-03-07 02:10:00+00:00,1.06775,1.06779,1.06769,1.06774,0
2023-03-07 02:11:00+00:00,1.06775,1.06782,1.06769,1.06776,0
2023-03-07 02:12:00+00:00,1.06775,1.06797,1.06774,1.06784,0
2023-03-07 02:13:00+00:00,1.06788,1.06833,1.06788,1.06833,0
2023-03-07 02:14:00+00:00,1.06833,1.06847,1.0683,1.06837,0
2023-03-07 02:15:00+00:00,1.06835,1.06851,1.06828,1.06833,0
2023-03-07 02:16:00+00:00,1.06831,1.06851,1.0683,1.06836,0
2023-03-07 02:17:00+00:00,1.06836,1.06838,1.06825,1.06835,0
2023-03-07 02:18:00+00:00,1.06835,1.06837,1.06822,1.06831,0
2023-03-07 02:19:00+00:00,1.06831,1.06849,1.06831,1.06841,0
2023-03-07 02:20:00+00:00,1.06842,1.06842,1.06828,1.06839,0
2023-03-07 02:21:00+00:00,1.0684,1.06854,1.0684,1.06846,0
2023-03-07 02:22:00+00:00,1.06847,1.06853,1.06843,1.06851,0
2023-03-07 02:23:00+00:00,1.0685,1.06861,1.06846,1.06856,0
2023-03-07 02:24:00+00:00,1.06858,1.06903,1.06857,1.06901,0
2023-03-07 02:25:00+00:00,1.06902,1.06917,1.06898,1.06907,0
2023-03-07 02:26:00+00:00,1.06907,1.06916,1.06891,1.06891,0
2023-03-07 02:27:00+00:00,1.0689,1.06895,1.06882,1.06884,0
2023-03-07 02:28:00+00:00,1.06885,1.06887,1.06879,1.06885,0
2023-03-07 02:29:00+00:00,1.06885,1.06906,1.06881,1.06905,0
2023-03-07 02:30:00+00:00,1.069,1.06907,1.06882,1.06882,0
2023-03-07 02:31:00+00:00,1.06887,1.06892,1.0687,1.06888,0
2023-03-07 02:32:00+00:00,1.06888,1.06901,1.06887,1.06901,0
2023-03-07 02:33:00+00:00,1.06902,1.06906,1.06888,1.06894,0
2023-03-07 02:34:00+00:00,1.06896,1.06897,1.06883,1.06896,0
2023-03-07 02:35:00+00:00,1.06899,1.06907,1.06896,1.06896,0
2023-03-07 02:36:00+00:00,1.06896,1.0691,1.06895,1.06901,0
2023-03-07 02:37:00+00:00,1.06902,1.06905,1.06897,1.06902,0
2023-03-07 02:38:00+00:00,1.06901,1.06917,1.06901,1.06915,0
2023-03-07 02:39:00+00:00,1.06916,1.06943,1.06916,1.06933,0
2023-03-07 02:40:00+00:00,1.06935,1.06937,1.06925,1.06934,0
2023-03-07 02:41:00+00:00,1.06933,1.06934,1.06927,1.06929,0
2023-03-07 02:42:00+00:00,1.06928,1.0693,1.06908,1.06911,0
2023-03-07 02:43:00+00:00,1.06909,1.06917,1.06891,1.06891,0
2023-03-07 02:44:00+00:00,1.06894,1.06894,1.06881,1.06881,0
2023-03-07 02:45:00+00:00,1.06885,1.06896,1.06876,1.06876,0
2023-03-07 02:46:00+00:00,1.06875,1.06887,1.06867,1.06885,0
2023-03-07 02:47:00+00:00,1.06884,1.06884,1.06865,1.06866,0
2023-03-07 02:48:00+00:00,1.06866,1.06872,1.06849,1.0685,0
2023-03-07 02:49:00+00:00,1.06851,1.06863,1.06843,1.06857,0
2023-03-07 02:50:00+00:00,1.06857,1.06888,1.06857,1.06879,0
2023-03-07 02:51:00+00:00,1.06877,1.06882,1.06863,1.06866,0
2023-03-07 02:52:00+00:00,1.06864,1.06876,1.06851,1.06875,0
2023-03-07 02:53:00+00:00,1.06875,1.06885,1.06875,1.06876,0
2023-03-07 02:54:00+00:00,1.06876,1.06888,1.06874,1.0688,0
2023-03-07 02:55:00+00:00,1.06879,1.06891,1.06878,1.06888,0
2023-03-07 02:56:00+00:00,1.06888,1.06907,1.06888,1.06896,0
2023-03-07 02:57:00+00:00,1.06896,1.06901,1.06884,1.06896,0
2023-03-07 02:58:00+00:00,1.06896,1.06896,1.0688,1.0688,0
2023-03-07 02:59:00+00:00,1.0688,1.06882,1.06847,1.06854,0
2023-03-07 03:00:00+00:00,1.06853,1.06862,1.06811,1.06816,0
2023-03-07 03:01:00+00:00,1.06819,1.06843,1.06791,1.06792,0
2023-03-07 03:02:00+00:00,1.06794,1.06818,1.0679,1.06805,0
2023-03-07 03:03:00+00:00,1.06805,1.06826,1.06804,1.06822,0
2023-03-07 03:04:00+00:00,1.06825,1.06843,1.06811,1.06817,0
2023-03-07 03:05:00+00:00,1.06817,1.0682,1.06791,1.06803,0
2023-03-07 03:06:00+00:00,1.06803,1.06816,1.06781,1.0679,0
2023-03-07 03:07:00+00:00,1.0679,1.0679,1.06767,1.0677,0
2023-03-07 03:08:00+00:00,1.0677,1.06793,1.0677,1.06791,0
2023-03-07 03:09:00+00:00,1.06791,1.06797,1.06779,1.06792,0
2023-03-07 03:10:00+00:00,1.06791,1.06792,1.0678,1.0679,0
2023-03-07 03:11:00+00:00,1.06791,1.06795,1.06741,1.06745,0
2023-03-07 03:12:00+00:00,1.06744,1.06746,1.06715,1.06743,0
2023-03-07 03:13:00+00:00,1.06743,1.06746,1.06726,1.06737,0
2023-03-07 03:14:00+00:00,1.06737,1.06742,1.06712,1.06718,0
2023-03-07 03:15:00+00:00,1.06716,1.06721,1.06706,1.06716,0
2023-03-07 03:16:00+00:00,1.06714,1.06738,1.0671,1.06736,0
