symbol,datetime,open,high,low,close,volume,trades,imputed,gap_size,impute_method
BTCUSDT,2023-03-18 03:25:00+00:00,27272.6,27272.6,27272.6,27272.6,0.0038717,1,,,
BTCUSDT,2023-03-18 03:26:00+00:00,27272.6,27272.6,27272.6,27272.6,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 03:27:00+00:00,27267.2,27267.2,27265.7,27265.7,0.12607175,3,,,
BTCUSDT,2023-03-18 03:28:00+00:00,27271.1,27271.6,27271.1,27271.6,0.21633649,4,,,
BTCUSDT,2023-03-18 03:29:00+00:00,27271.1,27271.6,27271.1,27271.6,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 03:30:00+00:00,27271.1,27271.6,27271.1,27271.6,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 03:31:00+00:00,27283.4,27283.4,27283.3,27283.3,0.1,3,,,
BTCUSDT,2023-03-18 03:32:00+00:00,27283.4,27283.4,27283.3,27283.3,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 03:33:00+00:00,27294.5,27294.5,27294.5,27294.5,0.00056,1,,,
BTCUSDT,2023-03-18 03:34:00+00:00,27299.1,27299.1,27297.5,27297.5,0.00825453,2,,,
BTCUSDT,2023-03-18 03:35:00+00:00,27291.0,27291.0,27291.0,27291.0,0.00302295,2,,,
BTCUSDT,2023-03-18 03:36:00+00:00,27291.0,27291.0,27291.0,27291.0,0.05206845,1,,,
BTCUSDT,2023-03-18 03:37:00+00:00,27291.0,27291.0,27291.0,27291.0,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 03:38:00+00:00,27314.4,27314.4,27314.4,27314.4,0.00186368,1,,,
BTCUSDT,2023-03-18 03:39:00+00:00,27342.2,27342.2,27302.7,27302.7,0.00549724,2,,,
BTCUSDT,2023-03-18 03:40:00+00:00,27306.6,27306.6,27306.6,27306.6,0.04934335,1,,,
BTCUSDT,2023-03-18 03:41:00+00:00,27311.6,27311.6,27311.6,27311.6,0.000325,1,,,
BTCUSDT,2023-03-18 03:42:00+00:00,27317.7,27326.3,27317.6,27326.3,0.40915228,7,,,
BTCUSDT,2023-03-18 03:43:00+00:00,27322.1,27322.1,27322.1,27322.1,0.00633921,1,,,
BTCUSDT,2023-03-18 03:44:00+00:00,27323.7,27323.9,27322.4,27323.9,0.04124446,3,,,
BTCUSDT,2023-03-18 03:45:00+00:00,27323.7,27323.9,27322.4,27323.9,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 03:46:00+00:00,27323.7,27323.9,27322.4,27323.9,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 03:47:00+00:00,27323.7,27323.9,27322.4,27323.9,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 03:48:00+00:00,27312.2,27316.6,27312.2,27316.6,0.72134813,6,,,
BTCUSDT,2023-03-18 03:49:00+00:00,27312.200000171364,27316.600000108778,27312.200000151992,27316.600000108778,0.0,0,True,6.0,ETS
BTCUSDT,2023-03-18 03:50:00+00:00,27312.200000171364,27316.600000108778,27312.200000151992,27316.600000108778,0.0,0,True,6.0,ETS
BTCUSDT,2023-03-18 03:51:00+00:00,27312.200000171364,27316.600000108778,27312.200000151992,27316.600000108778,0.0,0,True,6.0,ETS
BTCUSDT,2023-03-18 03:52:00+00:00,27312.200000171364,27316.600000108778,27312.200000151992,27316.600000108778,0.0,0,True,6.0,ETS
BTCUSDT,2023-03-18 03:53:00+00:00,27312.200000171364,27316.600000108778,27312.200000151992,27316.600000108778,0.0,0,True,6.0,ETS
BTCUSDT,2023-03-18 03:54:00+00:00,27312.200000171364,27316.600000108778,27312.200000151992,27316.600000108778,0.0,0,True,6.0,ETS
BTCUSDT,2023-03-18 03:55:00+00:00,27315.2,27315.3,27315.2,27315.3,0.00308632,2,,,
BTCUSDT,2023-03-18 03:56:00+00:00,27305.5,27305.5,27305.5,27305.5,0.00245,1,,,
BTCUSDT,2023-03-18 03:57:00+00:00,27305.5,27305.5,27305.5,27305.5,0.0,0,True,5.0,LOCF
BTCUSDT,2023-03-18 03:58:00+00:00,27305.5,27305.5,27305.5,27305.5,0.0,0,True,5.0,LOCF
BTCUSDT,2023-03-18 03:59:00+00:00,27305.5,27305.5,27305.5,27305.5,0.0,0,True,5.0,LOCF
BTCUSDT,2023-03-18 04:00:00+00:00,27305.5,27305.5,27305.5,27305.5,0.0,0,True,5.0,LOCF
BTCUSDT,2023-03-18 04:01:00+00:00,27305.5,27305.5,27305.5,27305.5,0.0,0,True,5.0,LOCF
BTCUSDT,2023-03-18 04:02:00+00:00,27306.2,27306.2,27305.5,27305.5,0.03917749,2,,,
BTCUSDT,2023-03-18 04:03:00+00:00,27305.2,27306.0,27305.2,27306.0,0.00263586,2,,,
BTCUSDT,2023-03-18 04:04:00+00:00,27305.2,27306.0,27305.2,27306.0,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 04:05:00+00:00,27313.9,27313.9,27313.9,27313.9,0.00010682,1,,,
BTCUSDT,2023-03-18 04:06:00+00:00,27296.1,27296.1,27296.1,27296.1,0.00181611,1,,,
BTCUSDT,2023-03-18 04:07:00+00:00,27296.1,27296.1,27296.1,27296.1,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 04:08:00+00:00,27296.1,27296.1,27296.1,27296.1,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 04:09:00+00:00,27270.1,27270.1,27270.1,27270.1,0.00025,1,,,
BTCUSDT,2023-03-18 04:10:00+00:00,27270.1,27270.1,27262.1,27262.1,0.14334676,3,,,
BTCUSDT,2023-03-18 04:11:00+00:00,27262.1,27262.1,27262.1,27262.1,0.13561907,2,,,
BTCUSDT,2023-03-18 04:12:00+00:00,27240.7,27240.7,27237.8,27237.8,0.03833087,2,,,
BTCUSDT,2023-03-18 04:13:00+00:00,27240.7,27240.7,27237.8,27237.8,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 04:14:00+00:00,27226.3,27233.0,27226.3,27233.0,0.05670691,3,,,
BTCUSDT,2023-03-18 04:15:00+00:00,27233.0,27233.0,27233.0,27233.0,0.0238311,2,,,
BTCUSDT,2023-03-18 04:16:00+00:00,27233.0,27240.7,27233.0,27240.7,0.11312275,2,,,
BTCUSDT,2023-03-18 04:17:00+00:00,27275.8,27275.8,27275.8,27275.8,0.5,1,,,
BTCUSDT,2023-03-18 04:18:00+00:00,27275.79999936223,27275.799999476967,27275.79999936223,27275.799999476967,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:19:00+00:00,27275.79999936223,27275.799999476967,27275.79999936223,27275.799999476967,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:20:00+00:00,27275.79999936223,27275.799999476967,27275.79999936223,27275.799999476967,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:21:00+00:00,27275.79999936223,27275.799999476967,27275.79999936223,27275.799999476967,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:22:00+00:00,27275.79999936223,27275.799999476967,27275.79999936223,27275.799999476967,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:23:00+00:00,27275.79999936223,27275.799999476967,27275.79999936223,27275.799999476967,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:24:00+00:00,27275.79999936223,27275.799999476967,27275.79999936223,27275.799999476967,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:25:00+00:00,27309.9,27309.9,27309.9,27309.9,0.00102881,1,,,
BTCUSDT,2023-03-18 04:26:00+00:00,27309.9,27309.9,27309.9,27309.9,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 04:27:00+00:00,27329.5,27329.5,27329.5,27329.5,0.05812628,1,,,
BTCUSDT,2023-03-18 04:28:00+00:00,27329.5,27329.5,27329.5,27329.5,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 04:29:00+00:00,27329.5,27329.5,27329.5,27329.5,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 04:30:00+00:00,27329.5,27329.5,27329.5,27329.5,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 04:31:00+00:00,27320.0,27320.0,27320.0,27320.0,0.00049003,1,,,
BTCUSDT,2023-03-18 04:32:00+00:00,27324.0,27324.0,27324.0,27324.0,0.0180285,1,,,
BTCUSDT,2023-03-18 04:33:00+00:00,27324.0,27324.0,27324.0,27324.0,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 04:34:00+00:00,27324.0,27324.0,27324.0,27324.0,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 04:35:00+00:00,27319.7,27319.7,27312.9,27312.9,0.14101,2,,,
BTCUSDT,2023-03-18 04:36:00+00:00,27319.7,27319.7,27312.9,27312.9,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 04:37:00+00:00,27342.2,27367.1,27342.2,27367.1,0.00374742,2,,,
BTCUSDT,2023-03-18 04:38:00+00:00,27342.2,27367.1,27342.2,27367.1,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 04:39:00+00:00,27382.0,27386.8,27369.9,27369.9,1.001102,7,,,
