exchange,symbol,open_time_utc,open_time_ms,open,high,low,close,volume
coinbase,ETHEUR,2023-03-20 09:48:00,1679305680000,1673.13,1673.93,1672.53,1673.78,9.34163027
coinbase,ETHEUR,2023-03-20 09:49:00,1679305740000,1673.32,1673.5,1673.14,1673.33,4.31277658
coinbase,ETHEUR,2023-03-20 09:50:00,1679305800000,1673.29,1673.32,1672.42,1672.42,5.72104386
coinbase,ETHEUR,2023-03-20 09:51:00,1679305860000,1672.65,1673.03,1670.82,1670.82,6.64419465
coinbase,ETHEUR,2023-03-20 09:52:00,1679305920000,1669.56,1671.11,1669.56,1670.86,13.162889
coinbase,ETHEUR,2023-03-20 09:53:00,1679305980000,1670.86,1670.86,1669.92,1669.92,5.99525123
coinbase,ETHEUR,2023-03-20 09:54:00,1679306040000,1669.26,1669.26,1669.02,1669.1,4.29927817
coinbase,ETHEUR,2023-03-20 09:55:00,1679306100000,1669.97,1672.87,1669.97,1672.57,18.90273912
coinbase,ETHEUR,2023-03-20 09:56:00,1679306160000,1672.33,1672.33,1671.07,1671.07,1.40094849
coinbase,ETHEUR,2023-03-20 09:57:00,1679306220000,1672.06,1673.02,1671.97,1672.61,6.37303876
coinbase,ETHEUR,2023-03-20 09:58:00,1679306280000,1672.91,1673.05,1671.78,1671.78,0.98749112
coinbase,ETHEUR,2023-03-20 09:59:00,1679306340000,1672.19,1672.19,1671.67,1672.08,0.18078264
coinbase,ETHEUR,2023-03-20 10:00:00,1679306400000,1673.18,1673.18,1671.31,1671.31,8.86655231
coinbase,ETHEUR,2023-03-20 10:01:00,1679306460000,1670.82,1671.3,1670.65,1670.65,18.15313991
coinbase,ETHEUR,2023-03-20 10:04:00,1679306640000,1670.85,1672.73,1670.63,1672.73,8.47478334
coinbase,ETHEUR,2023-03-20 10:05:00,1679306700000,1672.5,1672.75,1670.87,1670.87,11.94407989
coinbase,ETHEUR,2023-03-20 10:06:00,1679306760000,1671.2,1673.41,1671.2,1673.41,18.81255937
coinbase,ETHEUR,2023-03-20 10:07:00,1679306820000,1673.98,1673.98,1673,1673,1.49855
coinbase,ETHEUR,2023-03-20 10:08:00,1679306880000,1673.02,1673.06,1672.97,1672.97,2.39858906
coinbase,ETHEUR,2023-03-20 10:09:00,1679306940000,1673.93,1673.97,1672.9,1672.9,3.11602738
coinbase,ETHEUR,2023-03-20 10:11:00,1679307060000,1671.35,1671.35,1670.58,1670.58,1.22001823
coinbase,ETHEUR,2023-03-20 10:12:00,1679307120000,1668.4,1668.4,1668.4,1668.4,2.80318
coinbase,ETHEUR,2023-03-20 10:13:00,1679307180000,1668.5,1668.5,1665,1665,21.24802553
coinbase,ETHEUR,2023-03-20 10:14:00,1679307240000,1664.63,1668.07,1659.59,1667.52,34.15845971
coinbase,ETHEUR,2023-03-20 10:15:00,1679307300000,1666.74,1666.74,1664.77,1664.82,3.11601804
coinbase,ETHEUR,2023-03-20 10:16:00,1679307360000,1663.38,1664.35,1663.38,1664.35,5.07515217
coinbase,ETHEUR,2023-03-20 10:17:00,1679307420000,1663.8,1663.8,1662.07,1662.07,2.75321
coinbase,ETHEUR,2023-03-20 10:18:00,1679307480000,1662.07,1663.5,1661.41,1663.5,11.08766891
coinbase,ETHEUR,2023-03-20 10:19:00,1679307540000,1662.8,1663.8,1662.8,1663.28,5.82864774
coinbase,ETHEUR,2023-03-20 10:20:00,1679307600000,1663.28,1663.28,1661.88,1662.27,14.53425789
coinbase,ETHEUR,2023-03-20 10:21:00,1679307660000,1662.94,1663.94,1662.94,1663.08,1.47184381
coinbase,ETHEUR,2023-03-20 10:22:00,1679307720000,1661.91,1663.81,1661.91,1663.3,1.70058338
coinbase,ETHEUR,2023-03-20 10:23:00,1679307780000,1663.91,1663.91,1663.91,1663.91,1.4065
coinbase,ETHEUR,2023-03-20 10:24:00,1679307840000,1664.67,1665.53,1664.1,1665.45,13.57100565
coinbase,ETHEUR,2023-03-20 10:25:00,1679307900000,1664.63,1666.72,1664.45,1666.72,5.25127008
coinbase,ETHEUR,2023-03-20 10:26:00,1679307960000,1667.13,1667.13,1665.96,1665.96,1.12011362
coinbase,ETHEUR,2023-03-20 10:27:00,1679308020000,1666.88,1666.88,1665.93,1665.93,2.98435941
coinbase,ETHEUR,2023-03-20 10:29:00,1679308140000,1666.52,1667.49,1666.45,1667.49,1.60256774
coinbase,ETHEUR,2023-03-20 10:30:00,1679308200000,1667.53,1669.24,1666.98,1669.24,9.81001576
coinbase,ETHEUR,2023-03-20 10:31:00,1679308260000,1670.06,1671.28,1668.94,1668.94,6.41106406
