exchange,symbol,open_time_utc,open_time_ms,open,high,low,close,volume
coinbase,ETHUSD,2023-03-04 06:20:00,1677910800000,1571.58,1572.57,1570.71,1570.84,67.20945839
coinbase,ETHUSD,2023-03-04 06:21:00,1677910860000,1570.84,1571.18,1569.99,1570.55,83.77841739
coinbase,ETHUSD,2023-03-04 06:22:00,1677910920000,1570.56,1571.27,1570.4,1570.73,39.12635147
coinbase,ETHUSD,2023-03-04 06:23:00,1677910980000,1570.77,1571.01,1570.53,1570.76,29.04110288
coinbase,ETHUSD,2023-03-04 06:24:00,1677911040000,1570.76,1570.76,1570.11,1570.57,31.51136918
coinbase,ETHUSD,2023-03-04 06:25:00,1677911100000,1570.59,1570.7,1570.16,1570.59,15.34814066
coinbase,ETHUSD,2023-03-04 06:26:00,1677911160000,1570.52,1571.24,1570.5,1570.71,46.71553991
coinbase,ETHUSD,2023-03-04 06:27:00,1677911220000,1570.73,1570.76,1570.19,1570.42,16.41361081
coinbase,ETHUSD,2023-03-04 06:28:00,1677911280000,1570.42,1570.73,1570.41,1570.69,16.28756303
coinbase,ETHUSD,2023-03-04 06:29:00,1677911340000,1570.71,1570.92,1570.37,1570.45,8.91520431
coinbase,ETHUSD,2023-03-04 06:30:00,1677911400000,1570.47,1571.21,1570.47,1570.83,15.44727415
coinbase,ETHUSD,2023-03-04 06:31:00,1677911460000,1571.12,1571.17,1570.73,1571.08,36.79776647
coinbase,ETHUSD,2023-03-04 06:32:00,1677911520000,1571.06,1571.6,1570.98,1571.3,13.10966409
coinbase,ETHUSD,2023-03-04 06:33:00,1677911580000,1571.31,1571.87,1571.25,1571.65,19.28867634
coinbase,ETHUSD,2023-03-04 06:34:00,1677911640000,1571.67,1571.68,1571.06,1571.25,13.6269867
coinbase,ETHUSD,2023-03-04 06:35:00,1677911700000,1571.25,1571.25,1570.86,1571.16,20.08249244
coinbase,ETHUSD,2023-03-04 06:36:00,1677911760000,1571.25,1571.25,1570.71,1570.71,11.30010978
coinbase,ETHUSD,2023-03-04 06:37:00,1677911820000,1570.7,1571.25,1570.46,1571.2,15.25692742
coinbase,ETHUSD,2023-03-04 06:38:00,1677911880000,1571.2,1571.7,1571.19,1571.28,32.39594199
coinbase,ETHUSD,2023-03-04 06:39:00,1677911940000,1571.22,1571.33,1570.55,1570.77,16.06630125
coinbase,ETHUSD,2023-03-04 06:40:00,1677912000000,1570.85,1571.21,1570.76,1571.21,13.76713614
coinbase,ETHUSD,2023-03-04 06:41:00,1677912060000,1571.21,1571.47,1570.98,1571.47,7.41952935
coinbase,ETHUSD,2023-03-04 06:42:00,1677912120000,1571.48,1571.71,1570.98,1571.2,29.39905056
coinbase,ETHUSD,2023-03-04 06:43:00,1677912180000,1571.18,1571.91,1571.18,1571.91,23.86913908
coinbase,ETHUSD,2023-03-04 06:44:00,1677912240000,1572,1572.11,1571.89,1572.01,48.40368356
coinbase,ETHUSD,2023-03-04 06:45:00,1677912300000,1572,1572,1571.57,1571.67,6.6913006
coinbase,ETHUSD,2023-03-04 06:46:00,1677912360000,1571.65,1572.29,1571.65,1572.04,9.1980362
coinbase,ETHUSD,2023-03-04 06:47:00,1677912420000,1571.96,1572,1571.4,1571.66,28.23213478
coinbase,ETHUSD,2023-03-04 06:48:00,1677912480000,1571.7,1571.75,1571.41,1571.64,4.31647654
coinbase,ETHUSD,2023-03-04 06:49:00,1677912540000,1571.63,1571.71,1571.32,1571.33,4.83099537
coinbase,ETHUSD,2023-03-04 06:50:00,1677912600000,1571.33,1571.45,1571.16,1571.16,12.24978294
coinbase,ETHUSD,2023-03-04 06:51:00,1677912660000,1571.12,1571.13,1571.1,1571.1,1.02002259
coinbase,ETHUSD,2023-03-04 06:52:00,1677912720000,1571.1,1571.11,1569.75,1569.75,48.48986524
coinbase,ETHUSD,2023-03-04 06:53:00,1677912780000,1569.76,1570.06,1569.76,1570.05,22.83717025
coinbase,ETHUSD,2023-03-04 06:54:00,1677912840000,1570.05,1571.46,1570.04,1570.95,84.34318454
coinbase,ETHUSD,2023-03-04 06:55:00,1677912900000,1570.9,1570.9,1570.42,1570.56,4.01949266
coinbase,ETHUSD,2023-03-04 06:56:00,1677912960000,1570.52,1570.65,1570.2,1570.2,17.63034438
coinbase,ETHUSD,2023-03-04 06:57:00,1677913020000,1570.21,1570.8,1570.2,1570.59,13.97933342
coinbase,ETHUSD,2023-03-04 06:58:00,1677913080000,1570.66,1570.66,1570.47,1570.51,2.35008359
coinbase,ETHUSD,2023-03-04 06:59:00,1677913140000,1570.5,1570.6,1570.23,1570.35,7.50886412
coinbase,ETHUSD,2023-03-04 07:00:00,1677913200000,1570.34,1570.63,1570.34,1570.61,9.51503726
coinbase,ETHUSD,2023-03-04 07:01:00,1677913260000,1570.6,1570.63,1570.13,1570.24,34.17371872
coinbase,ETHUSD,2023-03-04 07:02:00,1677913320000,1570.24,1570.26,1569.95,1570.25,12.39126804
coinbase,ETHUSD,2023-03-04 07:03:00,1677913380000,1570.25,1570.25,1569.95,1570.09,10.4033552
coinbase,ETHUSD,2023-03-04 07:04:00,1677913440000,1570.09,1570.24,1569.96,1570.03,8.9636072
coinbase,ETHUSD,2023-03-04 07:05:00,1677913500000,1570.02,1570.16,1569.94,1570.1,6.41041491
coinbase,ETHUSD,2023-03-04 07:06:00,1677913560000,1570.21,1570.94,1570.2,1570.81,46.75847142
coinbase,ETHUSD,2023-03-04 07:07:00,1677913620000,1570.79,1570.92,1570.79,1570.85,5.35602857
coinbase,ETHUSD,2023-03-04 07:08:00,1677913680000,1570.85,1570.87,1570.58,1570.84,12.31668533
coinbase,ETHUSD,2023-03-04 07:09:00,1677913740000,1570.84,1570.84,1570.72,1570.75,2.77016536
coinbase,ETHUSD,2023-03-04 07:10:00,1677913800000,1570.74,1570.87,1570.71,1570.74,7.8489714
coinbase,ETHUSD,2023-03-04 07:11:00,1677913860000,1570.74,1570.8,1569.9,1569.9,16.45855574
