symbol,open_time_ms,open_time_utc,open,high,low,close,volume,imputed,gap_size,impute_method
BTCUSDT,1678451400000,2023-03-10 12:30:00,19870.87,19883.75,19846.54,19849.19,4.18576,False,0,none
BTCUSDT,1678451460000,2023-03-10 12:31:00,19849.18,19853.61,19821.37,19824.07,2.61031,False,0,none
BTCUSDT,1678451520000,2023-03-10 12:32:00,19826.42,19841.43,19823.35,19841.43,1.37687,False,0,none
BTCUSDT,1678451580000,2023-03-10 12:33:00,19841.43,19841.43,19818.42,19823.03,4.48869,False,0,none
BTCUSDT,1678451640000,2023-03-10 12:34:00,19824.7,19848.0,19812.35,19823.11,6.12258,False,0,none
BTCUSDT,1678451700000,2023-03-10 12:35:00,19817.94,19825.93,19815.93,19824.28,0.67445,False,0,none
BTCUSDT,1678451760000,2023-03-10 12:36:00,19825.0,19836.93,19822.36,19831.37,3.82922,False,0,none
BTCUSDT,1678451820000,2023-03-10 12:37:00,19830.43,19848.14,19824.9,19848.07,3.56947,False,0,none
BTCUSDT,1678451880000,2023-03-10 12:38:00,19848.06,19856.45,19844.89,19847.9,1.30997,False,0,none
BTCUSDT,1678451940000,2023-03-10 12:39:00,19850.99,19858.61,19850.99,19854.83,0.92554,False,0,none
BTCUSDT,1678452000000,2023-03-10 12:40:00,19856.38,19863.15,19854.62,19854.62,2.35584,False,0,none
BTCUSDT,1678452060000,2023-03-10 12:41:00,19854.61,19861.23,19848.52,19858.02,1.20228,False,0,none
BTCUSDT,1678452120000,2023-03-10 12:42:00,19855.25,19859.81,19835.47,19838.15,1.17599,False,0,none
BTCUSDT,1678452180000,2023-03-10 12:43:00,19839.46,19854.94,19839.46,19853.09,1.15093,False,0,none
BTCUSDT,1678452240000,2023-03-10 12:44:00,19851.14,19867.46,19851.14,19867.46,0.55672,False,0,none
BTCUSDT,1678452300000,2023-03-10 12:45:00,19865.12,19891.53,19859.46,19889.57,1.41585,False,0,none
BTCUSDT,1678452360000,2023-03-10 12:46:00,19891.91,19952.84,19891.91,19926.56,8.25141,False,0,none
BTCUSDT,1678452420000,2023-03-10 12:47:00,19924.31,19933.58,19904.54,19910.4,3.16982,False,0,none
BTCUSDT,1678452480000,2023-03-10 12:48:00,19910.85,19918.69,19903.22,19914.28,1.27421,False,0,none
BTCUSDT,1678452540000,2023-03-10 12:49:00,19909.82,19909.82,19883.58,19885.67,1.89766,False,0,none
BTCUSDT,1678452600000,2023-03-10 12:50:00,19886.4,19897.61,19877.36,19891.85,3.57837,False,0,none
BTCUSDT,1678452660000,2023-03-10 12:51:00,19891.26,19898.86,19882.78,19882.78,0.62289,False,0,none
BTCUSDT,1678452720000,2023-03-10 12:52:00,19884.83,19892.83,19881.35,19884.83,0.7255,False,0,none
BTCUSDT,1678452780000,2023-03-10 12:53:00,19885.66,19936.96,19885.66,19924.09,7.59207,False,0,none
BTCUSDT,1678452840000,2023-03-10 12:54:00,19932.21,19951.01,19931.19,19946.23,2.33667,False,0,none
BTCUSDT,1678452900000,2023-03-10 12:55:00,19947.26,19958.74,19935.42,19945.73,3.01972,False,0,none
BTCUSDT,1678452960000,2023-03-10 12:56:00,19944.12,19995.56,19942.85,19984.94,3.54862,False,0,none
BTCUSDT,1678453020000,2023-03-10 12:57:00,19985.4,19993.6,19969.23,19972.83,2.51029,False,0,none
BTCUSDT,1678453080000,2023-03-10 12:58:00,19969.22,19969.22,19933.05,19938.82,5.26661,False,0,none
BTCUSDT,1678453140000,2023-03-10 12:59:00,19938.82,19944.99,19933.24,19933.24,2.01624,False,0,none
BTCUSDT,1678453200000,2023-03-10 13:00:00,19934.23,19952.82,19930.64,19952.82,3.54341,False,0,none
BTCUSDT,1678453260000,2023-03-10 13:01:00,19957.43,19957.43,19929.99,19943.59,2.68763,False,0,none
BTCUSDT,1678453320000,2023-03-10 13:02:00,19940.32,19944.43,19925.59,19934.07,5.39223,False,0,none
BTCUSDT,1678453380000,2023-03-10 13:03:00,19929.92,19929.92,19914.21,19922.72,2.19182,False,0,none
BTCUSDT,1678453440000,2023-03-10 13:04:00,19916.68,19920.24,19906.34,19906.51,3.39531,False,0,none
BTCUSDT,1678453500000,2023-03-10 13:05:00,19911.41,19933.13,19903.35,19930.48,2.42909,False,0,none
BTCUSDT,1678453560000,2023-03-10 13:06:00,19929.41,19952.06,19922.04,19928.89,4.4251,False,0,none
BTCUSDT,1678453620000,2023-03-10 13:07:00,19928.88,19932.11,19922.19,19930.19,2.11771,False,0,none
BTCUSDT,1678453680000,2023-03-10 13:08:00,19932.59,19948.83,19928.62,19942.99,1.578,False,0,none
BTCUSDT,1678453740000,2023-03-10 13:09:00,19942.99,19942.99,19924.19,19926.73,1.54741,False,0,none
BTCUSDT,1678453800000,2023-03-10 13:10:00,19928.15,19942.49,19928.15,19938.78,1.64026,False,0,none
BTCUSDT,1678453860000,2023-03-10 13:11:00,19938.78,19945.64,19933.92,19945.64,1.49031,False,0,none
BTCUSDT,1678453920000,2023-03-10 13:12:00,19942.35,19945.68,19941.1,19944.56,0.17817,False,0,none
BTCUSDT,1678453980000,2023-03-10 13:13:00,19946.17,19953.79,19933.01,19934.91,1.55818,False,0,none
BTCUSDT,1678454040000,2023-03-10 13:14:00,19934.28,19934.28,19920.15,19929.82,2.17382,False,0,none
BTCUSDT,1678454100000,2023-03-10 13:15:00,19927.75,19929.03,19903.73,19912.54,2.41296,False,0,none
BTCUSDT,1678454160000,2023-03-10 13:16:00,19912.48,19921.01,19908.65,19914.39,0.58942,False,0,none
BTCUSDT,1678454220000,2023-03-10 13:17:00,19915.36,19915.36,19897.42,19897.42,1.93522,False,0,none
BTCUSDT,1678454280000,2023-03-10 13:18:00,19893.42,19909.48,19886.93,19905.45,1.35354,False,0,none
BTCUSDT,1678454340000,2023-03-10 13:19:00,19905.35,19912.69,19898.92,19901.41,1.59743,False,0,none
BTCUSDT,1678454400000,2023-03-10 13:20:00,19900.36,19903.23,19894.73,19894.73,0.26288,False,0,none
BTCUSDT,1678454460000,2023-03-10 13:21:00,19899.94,19929.19,19899.94,19915.89,1.7681,False,0,none
BTCUSDT,1678454520000,2023-03-10 13:22:00,19915.89,19925.73,19906.59,19922.92,2.84272,False,0,none
BTCUSDT,1678454580000,2023-03-10 13:23:00,19920.92,19932.01,19914.42,19921.2,1.60914,False,0,none
BTCUSDT,1678454640000,2023-03-10 13:24:00,19926.73,19942.72,19926.73,19940.06,2.46637,False,0,none
BTCUSDT,1678454700000,2023-03-10 13:25:00,19942.73,19953.17,19935.13,19948.01,3.44684,False,0,none
BTCUSDT,1678454760000,2023-03-10 13:26:00,19946.04,19960.28,19946.04,19959.14,3.35207,False,0,none
BTCUSDT,1678454820000,2023-03-10 13:27:00,19960.47,19960.47,19933.32,19938.22,3.78155,False,0,none
BTCUSDT,1678454880000,2023-03-10 13:28:00,19940.09,19947.9,19914.31,19941.12,2.74361,False,0,none
BTCUSDT,1678454940000,2023-03-10 13:29:00,19937.57,19959.76,19923.7,19943.25,7.20177,False,0,none
BTCUSDT,1678455000000,2023-03-10 13:30:00,19936.61,20163.21,19920.71,20160.77,41.48212,False,0,none
BTCUSDT,1678455060000,2023-03-10 13:31:00,20165.84,20176.61,20057.01,20064.01,18.76883,False,0,none
BTCUSDT,1678455120000,2023-03-10 13:32:00,20064.01,20091.96,20008.69,20060.56,9.3618,False,0,none
