,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-07 04:04:00+00:00,coinbase,BTCEUR,2023-03-07 04:04:00,21002.72,21010.22,21002.72,21010.22,0.00397258
2023-03-07 04:05:00+00:00,coinbase,BTCEUR,2023-03-07 04:05:00,21007.85,21012.82,21007.85,21012.82,0.0002439
2023-03-07 04:06:00+00:00,coinbase,BTCEUR,2023-03-07 04:05:00,21007.85,21012.82,21007.85,21012.82,0.0
2023-03-07 04:07:00+00:00,coinbase,BTCEUR,2023-03-07 04:05:00,21007.85,21012.82,21007.85,21012.82,0.0
2023-03-07 04:08:00+00:00,coinbase,BTCEUR,2023-03-07 04:08:00,21017.93,21017.93,21015.95,21015.95,0.00496617
2023-03-07 04:09:00+00:00,coinbase,BTCEUR,2023-03-07 04:08:00,21017.93,21017.93,21015.95,21015.95,0.0
2023-03-07 04:10:00+00:00,coinbase,BTCEUR,2023-03-07 04:08:00,21017.93,21017.93,21015.95,21015.95,0.0
2023-03-07 04:11:00+00:00,coinbase,BTCEUR,2023-03-07 04:08:00,21017.93,21017.93,21015.95,21015.95,0.0
2023-03-07 04:12:00+00:00,coinbase,BTCEUR,2023-03-07 04:12:00,21019.58,21024.23,21019.58,21023.91,0.01611643
2023-03-07 04:13:00+00:00,coinbase,BTCEUR,2023-03-07 04:12:00,21019.58,21024.23,21019.58,21023.91,0.0
2023-03-07 04:14:00+00:00,coinbase,BTCEUR,2023-03-07 04:14:00,21023.53,21023.61,21022.37,21023.61,0.02232258
2023-03-07 04:15:00+00:00,coinbase,BTCEUR,2023-03-07 04:15:00,21023.5,21023.5,21021.47,21021.47,0.00067249
2023-03-07 04:16:00+00:00,coinbase,BTCEUR,2023-03-07 04:15:00,21023.5,21023.5,21021.47,21021.47,0.0
2023-03-07 04:17:00+00:00,coinbase,BTCEUR,2023-03-07 04:17:00,21018.49,21022.59,21018.49,21019.88,0.15084701
2023-03-07 04:18:00+00:00,coinbase,BTCEUR,2023-03-07 04:18:00,21021.33,21021.33,21019.37,21019.37,0.00195693
2023-03-07 04:19:00+00:00,coinbase,BTCEUR,2023-03-07 04:19:00,21018.03,21018.03,21018.03,21018.03,0.00401393
2023-03-07 04:20:00+00:00,coinbase,BTCEUR,2023-03-07 04:20:00,21018.37,21019.17,21017.87,21017.87,0.03321161
2023-03-07 04:21:00+00:00,coinbase,BTCEUR,2023-03-07 04:21:00,21020.78,21021.8,21015.2,21019.69,0.26780643
