,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-02 22:53:00+00:00,coinbase,BTCUSD,2023-03-02 22:53:00,23482.84,23484.35,23472.95,23473.69,6.69187352
2023-03-02 22:54:00+00:00,coinbase,BTCUSD,2023-03-02 22:54:00,23473.69,23479.61,23472.92,23472.93,1.77129003
2023-03-02 22:55:00+00:00,coinbase,BTCUSD,2023-03-02 22:55:00,23472.94,23484.68,23472.94,23484.64,4.66541954
2023-03-02 22:56:00+00:00,coinbase,BTCUSD,2023-03-02 22:56:00,23484.4,23484.47,23472.92,23481.3,1.85292395
2023-03-02 22:57:00+00:00,coinbase,BTCUSD,2023-03-02 22:57:00,23481.3,23481.75,23476.79,23477.64,3.30505062
2023-03-02 22:58:00+00:00,coinbase,BTCUSD,2023-03-02 22:58:00,23477.64,23477.64,23458.3,23460.68,6.90688837
2023-03-02 22:59:00+00:00,coinbase,BTCUSD,2023-03-02 22:59:00,23460.09,23469.64,23460.09,23465.31,3.30355168
2023-03-02 23:00:00+00:00,coinbase,BTCUSD,2023-03-02 23:00:00,23462.56,23473.19,23461.35,23463.46,6.06044786
2023-03-02 23:01:00+00:00,coinbase,BTCUSD,2023-03-02 23:01:00,23463.45,23471.33,23446.74,23448.35,13.71991979
2023-03-02 23:02:00+00:00,coinbase,BTCUSD,2023-03-02 23:02:00,23448.35,23474.56,23441.24,23472.11,11.2061428
2023-03-02 23:03:00+00:00,coinbase,BTCUSD,2023-03-02 23:03:00,23472.7,23475.67,23460.75,23470.33,6.36419999
2023-03-02 23:04:00+00:00,coinbase,BTCUSD,2023-03-02 23:04:00,23470.31,23470.31,23462.33,23468.55,6.86951706
2023-03-02 23:05:00+00:00,coinbase,BTCUSD,2023-03-02 23:05:00,23468.54,23477.09,23468.28,23474.91,7.02863603
2023-03-02 23:06:00+00:00,coinbase,BTCUSD,2023-03-02 23:06:00,23475.09,23477.0,23473.14,23473.14,3.13566759
2023-03-02 23:07:00+00:00,coinbase,BTCUSD,2023-03-02 23:07:00,23471.59,23475.18,23469.36,23469.37,3.16318747
2023-03-02 23:08:00+00:00,coinbase,BTCUSD,2023-03-02 23:08:00,23469.38,23471.55,23462.32,23462.66,3.06035082
2023-03-02 23:09:00+00:00,coinbase,BTCUSD,2023-03-02 23:09:00,23463.03,23471.08,23463.02,23469.39,1.74490402
2023-03-02 23:10:00+00:00,coinbase,BTCUSD,2023-03-02 23:10:00,23469.03,23478.74,23467.97,23472.9,6.55647549
2023-03-02 23:11:00+00:00,coinbase,BTCUSD,2023-03-02 23:11:00,23472.9,23480.26,23472.9,23476.88,2.78777477
2023-03-02 23:12:00+00:00,coinbase,BTCUSD,2023-03-02 23:12:00,23477.4,23481.03,23476.95,23480.89,1.81287138
2023-03-02 23:13:00+00:00,coinbase,BTCUSD,2023-03-02 23:13:00,23480.89,23484.52,23480.89,23484.42,2.95142575
2023-03-02 23:14:00+00:00,coinbase,BTCUSD,2023-03-02 23:14:00,23484.43,23484.52,23479.55,23479.91,3.78044532
2023-03-02 23:15:00+00:00,coinbase,BTCUSD,2023-03-02 23:15:00,23479.9,23494.73,23479.57,23492.27,6.32034761
2023-03-02 23:16:00+00:00,coinbase,BTCUSD,2023-03-02 23:16:00,23492.29,23499.9,23492.29,23499.58,4.91498481
2023-03-02 23:17:00+00:00,coinbase,BTCUSD,2023-03-02 23:17:00,23499.29,23504.86,23496.93,23498.24,10.40910237
2023-03-02 23:18:00+00:00,coinbase,BTCUSD,2023-03-02 23:18:00,23498.14,23508.49,23497.14,23498.27,11.77230722
2023-03-02 23:19:00+00:00,coinbase,BTCUSD,2023-03-02 23:19:00,23498.24,23498.47,23480.01,23489.6,6.13961916
